"UK-AIR ID","EU Site ID","EMEP Site ID","Site Name","Environment Type","Zone","Start Date","End Date","Latitude","Longitude","Northing","Easting","Altitude (m)","Networks","AURN Pollutants Measured","Site Description"
"UKA00399","GB0729A","","Aberdeen","Background Urban","North East Scotland","1999-09-18","2019-11-07","57.157360","-2.094278","807391.98","394395.80","20","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air conditioned housing located in an open area of ground within a housing development.  The city centre is approximately 1 kilometre from the site and Aberdeen beach is around 500m away. The nearest main road, the A956, is 70m away."
"UKA00513","GB0923A","","Aberdeen Union Street Roadside","Traffic Urban","North East Scotland","2008-01-01","","57.144555","-2.106472","805967.60","393655.92","26","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a small self-contained housing located on the north side of the A9013 Union Street, near the junction with Bon Accord Street. This location is within a busy commercial area."
"UKA00615","GB1057A","","Aberdeen Wellington Road","Traffic Urban","North East Scotland","2016-02-09","","57.133888","-2.094198","804779.00","394397.00","19","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","This site is situated approximately 2m from the roadside on Wellington Road, Adjacent to 117 Menzies Road, Aberdeen "
"UKA00541","GB0996A","","Armagh Roadside","Traffic Urban","Northern Ireland","2009-01-01","2010-09-03","54.353728","-6.654558","505347.21","97683.90","41","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Non-volatile PM10 (Hourly measured); Volatile PM10 (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature; PM10 Ambient Temperature; PM10 Ambient pressure measured","The monitoring station is within a self-contained, air-conditioned housing at the junction of Railway Street and the A29 Lonsdale Road. The immediate area is residential with commercial and light industrial areas nearby."
"UKA00137","GB0031R","GB0031R","Aston Hill","Background Rural","North Wales","1986-06-26","","52.503850","-3.034178","290053.08","329898.90","370","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air conditioned housing located in a field on the Welsh-English border. The nearest road is an access-only road for nearby farm buildings and is approximately 400 metres from the monitoring station. The surrounding area is rural and generally open with the nearest trees approximately 50 metres distance from the station."
"UKA00451","GB0048R","GB0048R","Auchencorth Moss","Background Rural","Central Scotland","2003-01-01","2018-08-08","55.792160","-3.242900","656128.11","322165.87","260","Acid Gas and Aerosol Network; Automatic Hydrocarbon Monitoring Network; Automatic Urban and Rural Network (AURN); Daily rainfall EMEP; Heavy Metals Network; MARGA network; National Ammonia Monitoring Network; PAH Deposition; PAH Digitel (solid phase); Particulates; TEKRAN (Mercury) Network; Tomps; UK Black Carbon Network; Weekly rainfall (LOW)","Ozone; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained housing, located in an elevated rural environment, 1.5 kilometres north west of the A701 at Leadburn and 18 kilometres south of Edinburgh city centre."
"UKA00633","GB1074A","","Ballymena Antrim Road","Traffic Urban","Northern Ireland","2017-04-01","","54.851491","-6.274961","559121.00","125704.00","53","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside the Antrim Road. Located in a residential area to the south of Ballymena town centre."
"UKA00503","GB0934A","","Ballymena Ballykeel","Background Urban","Northern Ireland","2007-01-11","2011-12-31","54.861595","-6.250873","560150.05","127317.09","59","Automatic Urban and Rural Network (AURN); PAH Digitel (solid phase); UK Black Carbon Network","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing on Orkney Road at the rear of a housing development off of Old Crebilly Road. The surrounding area is urban residential. The monitoring station is approimately 50 metres West of the M2 motorway."
"UKA00353","GB0681A","","Barnsley Gawber","Background Urban","Yorkshire & Humberside","1997-07-07","2007-09-30","53.562920","-1.510436","407478.45","432524.22","100","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within an existing building located on the edge of a sports field surrounded on two sides by residential properties. The site is situated approximately 290 metres from the nearest main road, Wilthorpe Road (A635). The surrounding area comprises of open space and nearby residential premises."
"UKA00574","GB1029A","","Barnstaple A39","Traffic Urban","South West","2013-11-14","2018-08-02","51.074793","-4.041924","132591.00","257048.00","13","Automatic Urban and Rural Network (AURN)","PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station lies within a self-contained air conditioned mobile unit along the roadside of A39 -Eastern Avenue, 1.2 km east of Barnstaple town centre. The surrounding area comprises residential houses, and some industry. The Whiddon Valley Industrial Estate and the major road A361 lie 100m and 750m to the south east respectively."
"UKA00660","GB1101A","","Bath A4 Roadside","Traffic Urban","South West","2019-10-24","","51.390922","-2.355030","165825.00","375394.00","","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature",""
"UKA00212","GB0567A","","Belfast Centre","Background Urban","Belfast Metropolitan Urban Area","1992-03-08","2019-09-16","54.599650","-5.928833","529816.59","146337.91","10","Automatic Urban and Rural Network (AURN); Heavy Metals Network; Non-Automatic Hydrocarbon Network; UK Black Carbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; Carbon monoxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located at the junction between Lombard Street and High Street in a pedestrian precinct. The site is approximately 15 metres from the road junction. The surrounding area is built-up and comprises urban retail and business premises typically five-storeys high which create street canyons."
"UKA00594","GB1036A","","Belfast Stockman's Lane","Traffic Urban","Belfast Metropolitan Urban Area","2014-06-07","","54.572586","-5.974944","526975.07","143190.78","9","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit along the road side of A55 -   Stockman's Lane road, in the south western outskirts of Belfast's city centre. The surrounding area is mainly open to the south. A small residential area surrounds the site from the north. Shane Retail Park lies at 55 meters to the Northeast, and the M1 motorway - 150 meters to the northwest."
"UKA00153","GB0421A","","Billingham","Industrial Urban","Teesside Urban Area","1987-01-01","","54.605370","-1.275039","523597.01","446927.61","10","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within an existing building within the grounds of a council depot. The nearest road is a minor road within the industrial area and is approximately 80 metres from the monitoring station. The surrounding area is generally open and comprises both light industrial and business units with nearby residential dwellings."
"UKA00625","GB1066A","","Birkenhead Borough Road","Traffic Urban","Birkenhead Urban Area","2016-08-18","","53.388511","-3.025014","388453.16","331926.43","7","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside a dual carriageway section of the A552 Borough Road, approaching the centre of Birkenhead. There are houses on the south side of the road (next to the monitoring station) and a shopping centre on the opposite side."
"UKA00626","GB1067A","","Birmingham A4540 Roadside","Traffic Urban","West Midlands Urban Area","2016-09-06","2018-12-31","52.476090","-1.875024","286469.58","408585.63","109","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network; UK Black Carbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","Roadside monitoring station beside the A4540 (Watery Lane Middleway) which forms part of Birminghamâ€™s ring road."
"UKA00559","GB1013A","","Birmingham Acocks Green","Background Urban","West Midlands Urban Area","2011-03-18","2019-05-16","52.437165","-1.829999","282146.00","411653.98","134","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained, air-conditioned housing located within the grounds of an annex to a large school. The monitoring station is approximately 70 metres from the nearest road (other than car park access road), Shirley Road."
"UKA00655","GB1097A","","Birmingham Ladywood","Background Urban","West Midlands Urban Area","2018-06-01","2019-04-25","52.481346","-1.918235","287050.00","405650.00","134","Automatic Urban and Rural Network (AURN); Non-Automatic Hydrocarbon Network; PAH Digitel (solid phase); UK Black Carbon Network","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Sulphur dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature",""
"UKA00590","GB1032A","","Blackburn Accrington Road","Traffic Urban","North West & Merseyside","2014-05-12","","53.747751","-2.452724","428026.15","370241.78","142","Automatic Urban and Rural Network (AURN)","Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is within a self-contained air conditioned mobile unit along the road side of A679 -Accrington road, in the western outskirts of Blackburn's city centre. The surrounding area comprises residential houses, in an urban environment. The M65 motorway lies 1.5 km to the east."
"UKA00488","GB0882A","","Blackpool Marton","Background Urban","Blackpool Urban Area","2005-06-14","2019-07-12","53.804890","-3.007175","434758.92","333768.44","16","Automatic Urban and Rural Network (AURN)","Ozone; Nitric oxide; Nitrogen dioxide; Nitrogen oxides as nitrogen dioxide; PM10 particulate matter (Hourly measured); PM2.5 particulate matter (Hourly measured); Modelled Wind Direction; Modelled Wind Speed; Modelled Temperature","The monitoring station is located on school grounds next to playing fields with some nearby residential properties. The station is located approximately 40 metres from the closest road, which is a residential access road. The site is located 260 metres from a major road (A583 Preston New Road)."
